time,ax,ay,az,atotal
2022-08-11 17:49:35.5840,0.52,-0.76,0.38,0.99
2022-08-11 17:49:35.5940,0.63,-0.48,1.31,1.53
2022-08-11 17:49:35.6040,0.59,-0.01,2.81,2.87
2022-08-11 17:49:35.6150,0.67,-0.5,3.42,3.52
2022-08-11 17:49:35.6240,0.76,-1.35,3.55,3.87
2022-08-11 17:49:35.6340,0.01,-1.57,2.15,2.66
2022-08-11 17:49:35.6530,-0.81,-1.8,0.39,2.01
2022-08-11 17:49:35.6580,-1.11,-1.57,-1.17,2.25
2022-08-11 17:49:35.6640,-0.43,-0.08,-2.31,2.35
2022-08-11 17:49:35.6740,0.17,1.36,-2.29,2.66
2022-08-11 17:49:35.6840,0.14,1.75,-2.02,2.67
2022-08-11 17:49:35.6930,0.1,0.77,-1.66,1.83
2022-08-11 17:49:35.7040,0.53,-0.35,-0.82,1.03
2022-08-11 17:49:35.7140,1.3,-1.52,-0.21,2.01
2022-08-11 17:49:35.7230,1.69,-2.66,0.31,3.16
2022-08-11 17:49:35.7340,1.73,-1.91,0.43,2.61
2022-08-11 17:49:35.7430,1.02,0.98,0.26,1.43
2022-08-11 17:49:35.7570,-0.25,3.58,0.1,3.59
2022-08-11 17:49:35.7630,-1.17,4.15,1.13,4.45
2022-08-11 17:49:35.7730,-1.16,1.7,-1.46,2.52
2022-08-11 17:49:35.7830,-0.84,0.35,-3.42,3.53
2022-08-11 17:49:35.7930,0.47,-0.37,-1.28,1.41
2022-08-11 17:49:35.8030,0.75,-1.06,-0.5,1.39
2022-08-11 17:49:35.8130,0.02,-1.12,-0.93,1.45
2022-08-11 17:49:35.8230,0.05,-0.34,-0.22,0.4
2022-08-11 17:49:35.8340,-1.48,0.75,0.83,1.85
2022-08-11 17:49:35.8430,-1.72,0.54,1.52,2.35
2022-08-11 17:49:35.8560,-1.17,-0.01,1.63,2.0
2022-08-11 17:49:35.8640,-0.77,0.04,1.52,1.7
2022-08-11 17:49:35.8720,-0.33,0.15,0.9,0.97
2022-08-11 17:49:35.8820,0.0,0.07,0.24,0.25
2022-08-11 17:49:35.8920,-0.21,-0.25,-0.59,0.67
2022-08-11 17:49:35.9020,0.03,0.05,-0.56,0.56
2022-08-11 17:49:35.9120,1.13,-0.01,-1.37,1.77
2022-08-11 17:49:35.9220,1.75,-0.65,-2.44,3.07
2022-08-11 17:49:35.9320,1.76,-0.88,-2.48,3.16
2022-08-11 17:49:35.9420,1.65,-0.02,-1.93,2.53
2022-08-11 17:49:35.9570,1.91,-0.2,-1.12,2.22
2022-08-11 17:49:35.9630,1.16,-0.73,-0.94,1.66
2022-08-11 17:49:35.9720,0.73,-0.57,-0.74,1.18
2022-08-11 17:49:35.9810,0.76,0.01,0.46,0.88
2022-08-11 17:49:35.9930,-0.04,-0.6,1.02,1.18
2022-08-11 17:49:36.0010,-1.46,-0.14,0.87,1.7
2022-08-11 17:49:36.0110,-1.22,1.76,1.41,2.56
2022-08-11 17:49:36.0220,-0.41,2.52,1.57,2.99
2022-08-11 17:49:36.0320,-0.2,2.77,1.25,3.04
2022-08-11 17:49:36.0420,-1.31,0.99,0.04,1.64
2022-08-11 17:49:36.0560,-1.62,-0.31,-0.92,1.88
2022-08-11 17:49:36.0620,0.1,-1.58,0.7,1.73
2022-08-11 17:49:36.0710,0.11,-0.81,0.29,0.86
2022-08-11 17:49:36.0800,-0.04,2.03,-0.77,2.17
2022-08-11 17:49:36.0920,-0.62,1.37,-0.85,1.72
2022-08-11 17:49:36.1020,0.93,-0.7,-1.06,1.57
2022-08-11 17:49:36.1110,2.48,-1.39,-1.68,3.3
2022-08-11 17:49:36.1220,1.88,-0.2,-3.02,3.56
2022-08-11 17:49:36.1300,1.61,0.0,-1.72,2.35
2022-08-11 17:49:36.1400,1.07,-0.16,0.38,1.14
2022-08-11 17:49:36.1570,0.06,0.38,0.55,0.67
2022-08-11 17:49:36.1600,-1.06,0.27,0.53,1.21
2022-08-11 17:49:36.1710,-1.7,0.17,1.84,2.51
2022-08-11 17:49:36.1800,-1.38,-0.21,2.87,3.19
2022-08-11 17:49:36.1910,-1.14,0.0,2.6,2.83
2022-08-11 17:49:36.2000,-0.41,0.63,1.46,1.64
2022-08-11 17:49:36.2110,-0.74,0.45,0.56,1.03
2022-08-11 17:49:36.2210,-1.18,0.56,1.61,2.07
2022-08-11 17:49:36.2290,0.54,1.18,-0.1,1.3
2022-08-11 17:49:36.2400,0.88,-0.55,0.0,1.03
2022-08-11 17:49:36.2570,0.19,-1.14,-0.69,1.34
2022-08-11 17:49:36.2590,-0.23,-1.36,-1.62,2.12
2022-08-11 17:49:36.2690,-0.19,-1.13,-1.25,1.69
2022-08-11 17:49:36.2790,0.22,-0.99,-0.56,1.15
2022-08-11 17:49:36.2900,0.37,-0.89,0.92,1.33
2022-08-11 17:49:36.2990,0.37,-0.29,1.19,1.27
2022-08-11 17:49:36.3100,0.45,0.11,1.53,1.59
2022-08-11 17:49:36.3190,-0.24,0.93,0.93,1.33
2022-08-11 17:49:36.3300,-0.4,1.04,0.67,1.3
2022-08-11 17:49:36.3400,0.37,0.12,1.03,1.1
2022-08-11 17:49:36.3580,0.51,-0.18,-0.33,0.63
2022-08-11 17:49:36.3620,1.2,-0.7,-0.94,1.67
2022-08-11 17:49:36.3680,1.48,-0.85,-1.71,2.41
2022-08-11 17:49:36.3780,1.5,-0.7,-1.18,2.03
2022-08-11 17:49:36.3890,0.77,-0.33,-0.14,0.84
2022-08-11 17:49:36.3990,-0.1,-0.17,0.38,0.42
2022-08-11 17:49:36.4080,-0.68,0.22,0.15,0.73
2022-08-11 17:49:36.4190,-0.98,0.85,-0.58,1.42
2022-08-11 17:49:36.4290,-1.04,1.11,-0.81,1.72
2022-08-11 17:49:36.4380,-0.57,1.17,-0.55,1.41
2022-08-11 17:49:36.4590,-0.21,1.08,-0.32,1.14
2022-08-11 17:49:36.4620,-0.07,0.34,2.32,2.34
2022-08-11 17:49:36.4680,-1.51,-1.33,0.56,2.08
2022-08-11 17:49:36.4790,0.41,-0.43,-2.39,2.46
2022-08-11 17:49:36.4880,-0.29,0.98,-0.81,1.3
2022-08-11 17:49:36.4970,0.45,0.65,-0.77,1.1
2022-08-11 17:49:36.5080,0.67,0.63,-0.94,1.31
2022-08-11 17:49:36.5170,0.56,0.1,-0.51,0.76
2022-08-11 17:49:36.5280,0.47,-0.64,0.15,0.8
2022-08-11 17:49:36.5380,0.41,-0.57,0.46,0.83
2022-08-11 17:49:36.5470,0.16,0.09,0.36,0.4
2022-08-11 17:49:36.5610,-0.26,0.25,0.31,0.47
2022-08-11 17:49:36.5680,-0.82,0.7,0.54,1.2
2022-08-11 17:49:36.5780,-0.14,0.22,0.39,0.46
2022-08-11 17:49:36.5870,0.06,0.01,0.34,0.34
2022-08-11 17:49:36.5980,0.16,0.27,0.17,0.35
2022-08-11 17:49:36.6070,0.67,-0.17,-0.04,0.69
2022-08-11 17:49:36.6180,0.52,-0.43,-0.24,0.71
2022-08-11 17:49:36.6260,0.34,0.29,-0.36,0.57
2022-08-11 17:49:36.6370,-0.1,0.47,-0.36,0.6
2022-08-11 17:49:36.6470,-0.23,0.11,-0.15,0.29
2022-08-11 17:49:36.6600,0.05,-0.1,-0.17,0.2
2022-08-11 17:49:36.6670,0.19,-0.1,-0.2,0.29
2022-08-11 17:49:36.6770,0.52,0.22,-0.24,0.61
2022-08-11 17:49:36.6870,0.9,0.21,-0.42,1.01
2022-08-11 17:49:36.6960,0.73,-0.1,-0.15,0.75
2022-08-11 17:49:36.7070,-0.09,0.01,0.6,0.6
2022-08-11 17:49:36.7160,-0.41,0.04,0.85,0.94
2022-08-11 17:49:36.7260,0.45,0.04,0.02,0.45
2022-08-11 17:49:36.7360,0.8,-0.29,-0.52,0.99
2022-08-11 17:49:36.7450,0.82,-0.87,-0.36,1.24
2022-08-11 17:49:36.7620,0.64,-0.63,0.0,0.89
2022-08-11 17:49:36.7670,0.29,-0.37,0.57,0.73
2022-08-11 17:49:36.7760,0.19,-0.77,0.72,1.07
2022-08-11 17:49:36.7870,0.04,-0.49,0.37,0.61
2022-08-11 17:49:36.7950,-0.03,-0.08,-0.31,0.32
2022-08-11 17:49:36.8050,-0.16,-0.4,-0.33,0.54
2022-08-11 17:49:36.8150,-0.03,-0.82,-0.18,0.84
2022-08-11 17:49:36.8260,-0.01,-0.79,-0.77,1.1
