time,ax,ay,az,atotal
2022-08-11 17:53:57.4710,0.27,-0.39,-0.38,0.6
2022-08-11 17:53:57.4800,0.14,-0.4,-0.05,0.42
2022-08-11 17:53:57.4900,0.15,-0.13,-0.31,0.36
2022-08-11 17:53:57.5010,-0.32,0.22,0.26,0.46
2022-08-11 17:53:57.5100,-1.15,0.58,0.3,1.32
2022-08-11 17:53:57.5200,-2.27,0.62,2.72,3.59
2022-08-11 17:53:57.5410,-1.48,0.21,2.05,2.53
2022-08-11 17:53:57.5440,-0.47,0.18,-0.82,0.96
2022-08-11 17:53:57.5500,-0.64,-0.06,-0.86,1.07
2022-08-11 17:53:57.5610,-0.26,-0.12,-0.35,0.45
2022-08-11 17:53:57.5700,-0.03,-0.01,-0.27,0.27
2022-08-11 17:53:57.5790,0.51,0.24,-0.61,0.83
2022-08-11 17:53:57.5890,1.23,0.2,-1.02,1.61
2022-08-11 17:53:57.5990,2.32,2.39,-2.18,3.98
2022-08-11 17:53:57.6090,0.54,0.72,-0.46,1.01
2022-08-11 17:53:57.6190,-1.25,0.26,1.71,2.13
2022-08-11 17:53:57.6370,-0.8,0.28,1.56,1.77
2022-08-11 17:53:57.6400,-0.55,-0.07,1.05,1.18
2022-08-11 17:53:57.6480,-0.3,-0.5,0.65,0.87
2022-08-11 17:53:57.6580,0.02,-0.81,0.88,1.19
2022-08-11 17:53:57.6690,0.15,-0.84,1.04,1.34
2022-08-11 17:53:57.6780,0.31,-0.74,1.41,1.62
2022-08-11 17:53:57.6900,-0.21,-0.4,1.01,1.1
2022-08-11 17:53:57.6980,-0.76,0.17,0.18,0.79
2022-08-11 17:53:57.7080,-0.75,0.42,-0.23,0.88
2022-08-11 17:53:57.7180,-0.58,0.28,-0.32,0.71
2022-08-11 17:53:57.7400,-0.45,0.04,-0.25,0.51
2022-08-11 17:53:57.7420,-0.47,-0.22,-0.01,0.51
2022-08-11 17:53:57.7480,-0.41,-0.55,0.23,0.72
2022-08-11 17:53:57.7580,-0.1,-0.86,0.2,0.88
2022-08-11 17:53:57.7690,0.1,-0.85,0.04,0.85
2022-08-11 17:53:57.7780,0.12,-0.7,-0.04,0.71
2022-08-11 17:53:57.7870,0.19,-0.57,0.13,0.61
2022-08-11 17:53:57.7980,0.16,-0.22,0.21,0.34
2022-08-11 17:53:57.8080,0.05,0.23,0.27,0.35
